metric,value
Q5_rotation_and_traceability.matched_rotation_probes.30.actions_per_key_id,3.5294117647058822
Q5_rotation_and_traceability.matched_rotation_probes.30.application_MB_per_key_id,0.3839831176470588
Q5_rotation_and_traceability.matched_rotation_probes.30.encrypted_frame_MB_per_key_id,0.441293
Q5_rotation_and_traceability.matched_rotation_probes.10.verified_actions,60
Q5_rotation_and_traceability.matched_rotation_probes.10.used_key_ids,34
Q5_rotation_and_traceability.matched_rotation_probes.10.actions_per_key_id,1.7647058823529411
Q5_rotation_and_traceability.matched_rotation_probes.10.application_MB_per_key_id,0.1919915588235294
Q5_rotation_and_traceability.matched_rotation_probes.10.encrypted_frame_MB_per_key_id,0.2206500294117647
Q5_rotation_and_traceability.traceability.core_single_key_actions,14
Q5_rotation_and_traceability.traceability.core_single_key_qgp_log_rows,28
Q5_rotation_and_traceability.traceability.core_multi_key_actions,604
Q5_rotation_and_traceability.traceability.core_multi_key_ids,11
Q5_rotation_and_traceability.traceability.sidecar_actions,90
Q5_rotation_and_traceability.traceability.sidecar_key_ids,5
Q5_rotation_and_traceability.traceability.audit_chain_events,100
Q5_rotation_and_traceability.traceability.injected_event_modifications_detected,10
Q5_rotation_and_traceability.traceability.injected_event_modifications,10
